,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,Cabedelo,-6.9811,-34.8339,76.98,82,8,9.75,BR,1627344000
161,Mount Gambier,-37.8333,140.7667,51.53,70,42,14.09,AU,1627344000
162,Borovoy,55.4333,86.0833,59.99,90,83,7.52,RU,1627344000
163,Brae,60.3964,-1.353,58.82,96,85,13.38,GB,1627344000
164,Alofi,-19.0595,-169.9187,77.92,74,44,3.38,NU,1627344000
165,Saldanha,-33.0117,17.9442,55.38,83,37,9.82,ZA,1627344000
166,Codrington,-38.2667,141.9667,51.58,70,25,19.19,AU,1627344000
167,Byron Bay,-28.65,153.6167,62.1,60,0,1.1,AU,1627344000
168,Salalah,17.0151,54.0924,78.33,86,82,10.96,OM,1627344000
169,Airai,-8.9266,125.4092,67.89,49,22,3.18,TL,1627344000
170,Katsuura,35.1333,140.3,73.89,87,96,23.96,JP,1627344000
171,Eureka,40.8021,-124.1637,62.22,76,100,6.46,US,1627344000
172,Garoowe,8.4054,48.4845,79.03,47,94,21.7,SO,1627344000
173,Olafsvik,64.8945,-23.7142,49.8,87,100,9.37,IS,1627344000
174,Campbell River,50.0163,-125.2446,76.82,47,35,3.27,CA,1627344000
175,Ilhabela,-23.7781,-45.3581,69.57,57,0,4.47,BR,1627344000
176,Petauke,-14.2426,31.3253,53.64,71,58,12.08,ZM,1627344000
177,Paamiut,61.994,-49.6678,45.61,94,69,9.51,GL,1627344000
178,Codajás,-3.8367,-62.0569,84.87,57,25,2.66,BR,1627344000
179,Ilulissat,69.2167,-51.1,52.47,64,47,9.44,GL,1627344000
180,San Rafael del Sur,11.8485,-86.4384,88.75,58,85,6.51,NI,1627344000
181,Atuona,-9.8,-139.0333,78.19,68,38,21.56,PF,1627344000
182,Moro,26.6646,68.0016,91.33,54,97,9.37,PK,1627344000
183,Saint George,37.1041,-113.5841,89.35,46,42,13.6,US,1627344000
184,Luanda,-8.8368,13.2343,70.74,90,21,5.99,AO,1627344000
185,Taoudenni,22.6783,-3.9836,103.57,8,0,8.1,ML,1627344000
186,Tuatapere,-46.1333,167.6833,48.04,86,64,5.03,NZ,1627344000
187,Cidreira,-30.1811,-50.2056,62.26,98,100,6.87,BR,1627344000
188,Neiafu,-18.65,-173.9833,78.94,81,41,7.87,TO,1627344000
189,Vila Velha,-20.3297,-40.2925,75.45,71,28,6.78,BR,1627344000
190,Lukulu,-14.3707,23.242,54.73,43,98,8.7,ZM,1627344000
191,Vágur,61.4732,-6.8119,52.48,99,100,8.86,FO,1627344000
192,Raja,8.4596,25.678,69.66,92,97,2.73,SS,1627344000
193,Karpathos,35.507,27.2132,75.69,83,1,18.48,GR,1627344000
194,Sa Kaeo,13.75,102.3333,76.08,93,53,6.46,TH,1627344000
195,Honiara,-9.4333,159.95,82.76,81,100,6.58,SB,1627344000
196,Cayenne,4.9333,-52.3333,81.55,81,27,8.52,GF,1627344000
197,Butaritari,3.0707,172.7902,82.71,74,88,8.05,KI,1627344000
198,Ostrovnoy,68.0531,39.5131,45.86,88,100,20.07,RU,1627344000
199,Satipo,-11.2522,-74.6386,84.24,47,23,1.23,PE,1627344000
200,Gijang,35.2442,129.2139,82.09,84,4,9.89,KR,1627344000
201,Lagoa,39.05,-27.9833,70.81,88,77,8.68,PT,1627344000
202,Niterói,-22.8833,-43.1036,74.14,50,0,5.95,BR,1627344000
203,Altamont,42.2068,-121.7372,91.74,24,34,10.56,US,1627344000
204,Port Macquarie,-31.4333,152.9167,60.39,70,2,3.83,AU,1627344000
205,Sur,22.5667,59.5289,91.71,53,72,14.56,OM,1627344000
206,Kribi,2.95,9.9167,76.06,86,87,9.33,CM,1627344000
207,Bajmok,45.9688,19.4243,78.66,42,65,8.37,RS,1627344000
208,Avarua,-21.2078,-159.775,77.7,75,92,12.73,CK,1627344000
209,Mahébourg,-20.4081,57.7,70.09,88,76,15.3,MU,1627344000
210,Sabang,5.8933,95.3214,83.25,77,88,18.88,ID,1627344000
211,High Rock,26.6208,-78.2833,86.4,73,4,9.73,BS,1627344000
212,College,64.8569,-147.8028,69.1,51,73,8.57,US,1627344000
213,Atbasar,51.8,68.3333,56.61,55,9,5.84,KZ,1627344000
214,Greven,52.0936,7.594,64.09,91,58,9.66,DE,1627344000
215,Avera,33.194,-82.5271,90.16,48,12,6.55,US,1627344000
216,Nālūt,30.3333,10.85,85.69,18,0,15.64,LY,1627344000
217,Saint Paul Harbor,57.79,-152.4072,60.55,69,37,6.02,US,1627344000
218,Talnakh,69.4865,88.3972,72.66,77,73,8.08,RU,1627344000
219,Fortuna,40.5982,-124.1573,68.05,74,34,6.78,US,1627344000
220,Enshi,30.3,109.4833,75.25,95,13,0.13,CN,1627344000
221,Twin Falls,42.3505,-114.6445,100.29,14,22,8.77,US,1627344000
222,Erenhot,43.6475,111.9767,67.8,65,21,6.64,CN,1627344000
223,Durban,-29.8579,31.0292,59.25,69,73,11.77,ZA,1627344000
224,Mar del Plata,-38.0023,-57.5575,43.57,65,32,17.18,AR,1627344000
225,Tingo María,-9.2895,-76.0088,79.97,65,20,2.44,PE,1627344000
226,Muzhi,65.3667,64.6667,43.83,80,78,2.93,RU,1627344000
227,Komsomolets,53.7453,62.0708,52.81,64,11,7.58,KZ,1627344000
228,Hobyo,5.3505,48.5268,76.68,75,48,21.72,SO,1627344000
229,Kahului,20.8947,-156.47,81.75,75,48,12.91,US,1627344000
230,Muisne,0.6,-80.0333,80.19,83,90,9.13,EC,1627344000
231,Bengkulu,-3.8004,102.2655,74.17,76,2,5.01,ID,1627344000
232,Kumluca,36.3703,30.2869,86.07,40,0,7.34,TR,1627344000
233,Coquimbo,-29.9533,-71.3436,58.6,76,14,4.65,CL,1627344000
234,Chui,-33.6971,-53.4616,49.77,79,75,10.94,UY,1627344000
235,Okha,53.5739,142.9478,69.44,94,100,7.34,RU,1627344000
236,Provideniya,64.3833,-173.3,49.84,94,93,4.61,RU,1627344000
237,Vung Tau,10.346,107.0843,80.94,81,38,15.61,VN,1627344000
238,Srandakan,-7.9386,110.2506,73.62,88,14,3.33,ID,1627344000
239,Trairi,-3.2778,-39.2689,79.32,78,8,14.2,BR,1627344000
240,Dali,25.7,100.1833,64.29,89,99,1.74,CN,1627344000
241,Eruwa,7.5333,3.4167,71.76,87,84,6.22,NG,1627344000
242,Isangel,-19.55,169.2667,75.42,73,83,15.01,VU,1627344000
243,Hasaki,35.7333,140.8333,75.54,91,100,16.28,JP,1627344000
244,Goderich,43.7501,-81.7165,76.66,67,0,4.65,CA,1627344000
245,Portland,45.5234,-122.6762,90.91,38,42,9.82,US,1627344000
246,Grand Gaube,-20.0064,57.6608,70.57,83,31,18.7,MU,1627344000
247,Saint-Augustin,51.226,-58.6502,62.46,80,99,8.3,CA,1627344000
248,Marsh Harbour,26.5412,-77.0636,83.75,72,8,11.79,BS,1627344000
249,Mankono,8.0586,-6.1897,71.55,94,50,7.0,CI,1627344000
250,Nioro,13.35,-15.75,80.19,71,90,7.34,GM,1627344000
251,Puerto Nariño,-3.7703,-70.3831,81.84,94,99,1.81,CO,1627344000
252,Lewisporte,49.2499,-55.0482,67.86,62,56,8.5,CA,1627344000
253,Rincon,32.296,-81.2354,85.69,77,78,7.25,US,1627344000
254,Nome,64.5011,-165.4064,50.38,95,93,9.13,US,1627344000
255,Constitución,-35.3333,-72.4167,50.61,63,0,12.8,CL,1627344000
256,Faranah,10.0404,-10.7434,71.58,97,94,8.72,GN,1627344000
257,Cabo San Lucas,22.8909,-109.9124,87.51,67,14,8.39,MX,1627344000
258,Narsaq,60.9167,-46.05,56.39,66,22,0.67,GL,1627344000
259,Adrar,20.5022,-10.0711,95.16,12,1,13.8,MR,1627344000
260,Yamada,39.4667,141.95,70.45,98,100,13.02,JP,1627344000
261,Aripuanã,-9.1667,-60.6333,89.92,34,20,0.89,BR,1627344000
262,Vanimo,-2.6741,141.3028,83.14,79,59,5.37,PG,1627344000
263,Alta Floresta,-9.8756,-56.0861,87.35,29,58,2.35,BR,1627344000
264,Micheweni,-4.9667,39.8333,75.16,76,12,14.79,TZ,1627344000
265,Ternate,0.8,127.4,82.22,80,79,9.51,ID,1627344000
266,Killybegs,54.6333,-8.45,60.28,92,100,5.66,IE,1627344000
267,Port Lincoln,-34.7333,135.8667,58.95,50,42,26.37,AU,1627344000
268,Linxia Chengguanzhen,35.6003,103.2064,63.97,57,97,2.26,CN,1627344000
269,Sept-Îles,50.2001,-66.3821,64.96,90,92,4.36,CA,1627344000
270,Makakilo City,21.3469,-158.0858,82.98,58,47,17.09,US,1627344000
271,Znamenskoye,57.1281,73.8282,53.87,74,74,5.44,RU,1627344000
272,San Rafael,-34.6177,-68.3301,49.86,45,4,10.76,AR,1627344000
273,El Dorado,38.7666,-120.5177,87.93,15,92,8.52,US,1627344000
274,Geraldton,-28.7667,114.6,62.92,77,55,26.66,AU,1627344000
275,Cajamar,-23.3519,-46.8813,69.21,37,0,3.22,BR,1627344000
276,Saint-Leu,-21.15,55.2833,68.29,72,50,10.2,RE,1627344000
277,Cabo Rojo,18.0866,-67.1457,82.99,81,99,10.92,PR,1627344000
278,Oddur,4.1213,43.8894,70.45,67,49,18.37,SO,1627344000
279,Keetmanshoop,-26.5833,18.1333,58.42,29,0,12.59,NA,1627344000
280,Punta de Bombón,-17.1717,-71.7931,61.48,83,86,9.35,PE,1627344000
281,Lavrentiya,65.5833,-171.0,45.72,97,100,3.71,RU,1627344000
282,Nador,35.174,-2.9287,74.89,75,0,3.13,MA,1627344000
283,Kyzyl-Suu,42.3414,78.0056,67.59,30,0,5.86,KG,1627344000
284,Arandis,-22.4167,14.9667,66.45,27,0,11.3,NA,1627344000
285,Bamiantong,44.9333,130.5333,85.15,72,95,3.47,CN,1627344000
286,Tolaga Bay,-38.3667,178.3,58.3,66,52,7.78,NZ,1627344000
287,Okhotsk,59.3833,143.3,68.67,75,0,7.27,RU,1627344000
288,Bethel,41.3712,-73.414,81.28,60,15,3.85,US,1627344000
289,Kirakira,-10.4544,161.9205,84.33,79,88,8.1,SB,1627344000
290,Gaspé,48.8334,-64.4819,64.51,95,77,5.08,CA,1627344000
291,Dunedin,-45.8742,170.5036,50.79,60,85,9.98,NZ,1627344000
292,Broken Hill,-31.95,141.4333,57.13,46,8,24.99,AU,1627344000
293,Pierre,44.3683,-100.351,107.2,23,10,11.07,US,1627344000
294,Sembakung,3.8167,117.25,77.29,97,98,1.52,ID,1627344000
295,Kununurra,-15.7667,128.7333,77.7,70,100,3.02,AU,1627344000
296,Canto do Buriti,-8.11,-42.9444,80.29,38,42,5.99,BR,1627344000
297,Dwārka,22.2394,68.9678,82.36,85,100,21.74,IN,1627344000
298,Nanortalik,60.1432,-45.2371,49.86,76,26,0.89,GL,1627344000
299,Tual,-5.6667,132.75,81.09,76,90,16.13,ID,1627344000
300,Quelimane,-17.8786,36.8883,62.76,92,56,4.81,MZ,1627344000
301,Naze,28.3667,129.4833,77.92,85,100,13.38,JP,1627344000
302,Chenzhou,25.8,113.0333,82.54,79,40,2.13,CN,1627344000
303,Iqaluit,63.7506,-68.5145,49.42,75,37,7.63,CA,1627344000
304,Sestri Levante,44.2732,9.3968,74.52,88,48,5.35,IT,1627344000
305,Berlevåg,70.8578,29.0864,45.28,87,70,0.78,NO,1627344000
306,Port Hedland,-20.3167,118.5667,71.24,91,64,10.83,AU,1627344000
307,Mastic Beach,40.7668,-72.8521,82.26,68,22,7.16,US,1627344000
308,Cap Malheureux,-19.9842,57.6142,70.72,83,34,18.19,MU,1627344000
309,Barpeta,26.3167,91.0,81.41,88,100,2.01,IN,1627344000
310,Vestmannaeyjar,63.4427,-20.2734,50.86,89,93,12.17,IS,1627344000
311,Vao,-22.6667,167.4833,68.23,61,96,17.07,NC,1627344000
312,Agua Dulce,18.1333,-94.1333,87.12,70,64,8.77,MX,1627344000
313,Serov,59.6033,60.5787,57.07,69,68,8.55,RU,1627344000
314,Ojinaga,29.5667,-104.4167,101.3,12,11,10.6,MX,1627344000
315,Eugene,44.0521,-123.0867,90.82,33,60,6.98,US,1627344000
316,Pangai,-19.8,-174.35,76.86,77,68,4.18,TO,1627344000
317,Redcar,54.6166,-1.06,61.83,86,28,4.5,GB,1627344000
318,Ancud,-41.8697,-73.8203,45.07,71,62,6.76,CL,1627344000
319,Tocopilla,-22.092,-70.1979,62.26,72,19,10.65,CL,1627344000
320,Regeneração,-6.2378,-42.6883,88.2,30,66,8.52,BR,1627344000
321,Oussouye,12.485,-16.5469,83.79,79,60,7.87,SN,1627344000
322,Boguchany,58.3814,97.4531,71.8,61,86,3.53,RU,1627344000
323,Maniitsoq,65.4167,-52.9,51.85,76,32,13.69,GL,1627344000
324,Ladário,-19.0047,-57.6017,87.6,39,0,3.13,BR,1627344000
325,Sergeevka,53.88,67.4158,57.22,53,82,5.66,KZ,1627344000
326,Gander,48.9682,-54.5906,66.72,64,31,8.66,CA,1627344000
327,Bambous Virieux,-20.3428,57.7575,70.03,88,76,15.19,MU,1627344000
328,Agüimes,27.9054,-15.4461,69.49,81,60,15.79,ES,1627344000
329,Tsalenjikha,42.6044,42.0682,71.38,99,99,1.83,GE,1627344000
330,Egvekinot,66.3167,-179.1667,45.23,94,100,2.24,RU,1627344000
331,Haines Junction,60.7522,-137.5108,52.43,88,100,3.65,CA,1627344000
332,Det Udom,14.906,105.0784,78.04,91,94,7.9,TH,1627344000
333,Arrondissement de Lisieux,49.1667,0.1667,62.38,81,100,5.3,FR,1627344000
334,Limbang,4.75,115.0,79.21,92,96,2.13,MY,1627344000
335,Camacha,33.0833,-16.3333,68.67,79,50,13.8,PT,1627344000
336,Palmas de Monte Alto,-14.2672,-43.1619,74.95,39,14,6.93,BR,1627344000
337,Zavodoukovsk,56.5042,66.5515,56.14,63,99,5.86,RU,1627344000
338,Springbok,-29.6643,17.8865,57.51,36,0,5.77,ZA,1627344000
339,La Ronge,55.1001,-105.2842,72.63,45,35,2.73,CA,1627344000
340,Lake Havasu City,34.4839,-114.3224,98.38,32,24,11.39,US,1627344000
341,Isiro,2.7739,27.616,66.52,99,100,2.48,CD,1627344000
342,Mehamn,71.0357,27.8492,45.54,88,24,3.91,NO,1627344000
343,Linkou,45.3,130.2833,88.05,66,85,2.13,CN,1627344000
344,Burley,42.5357,-113.7928,102.04,11,25,8.37,US,1627344000
345,Māndal,25.45,74.5667,77.02,86,100,10.89,IN,1627344000
346,Bariloche,-41.1456,-71.3082,37.42,61,5,6.91,AR,1627344000
347,Roald,62.5833,6.1333,61.29,91,18,7.65,NO,1627344000
348,Vilela,41.2251,-7.6034,61.86,64,1,3.6,PT,1627344000
349,Boa Vista,2.8197,-60.6733,83.61,67,61,4.72,BR,1627344000
350,Oskarshamn,57.2645,16.4484,67.33,87,75,6.04,SE,1627344000
351,Goundam,16.4145,-3.6708,88.63,51,100,13.33,ML,1627344000
352,Salinas,36.6777,-121.6555,70.65,65,14,8.81,US,1627344000
353,Laramie,41.3114,-105.5911,83.82,17,32,15.77,US,1627344000
354,Mergen,49.1833,125.2167,68.49,96,100,5.3,CN,1627344000
355,Yulara,-25.2406,130.9889,64.76,43,28,17.94,AU,1627344000
356,Pāvilosta,56.8879,21.1859,67.87,76,100,9.4,LV,1627344000
357,Ambilobe,-13.2,49.05,70.36,64,95,3.33,MG,1627344000
